iter	Logloss
0	0.6887934399
1	0.6857421803
2	0.6812012713
3	0.6772723974
4	0.6704647012
5	0.6662599152
6	0.6604549098
7	0.6560737828
8	0.6490074846
9	0.6459883058
10	0.6411787508
11	0.6363421004
12	0.6331841709
13	0.629764305
14	0.6234987153
15	0.6180334451
16	0.6116838028
17	0.6057919534
18	0.6032910932
19	0.5987129166
20	0.5937329396
21	0.5884229305
22	0.5849143402
23	0.5825032108
24	0.579254129
25	0.5753614678
26	0.5721942243
27	0.5666614928
28	0.562834454
29	0.5558394239
30	0.5515115598
31	0.5474040654
32	0.5440054547
33	0.5405866931
34	0.5362252919
35	0.5320575743
36	0.5281548264
37	0.524218151
38	0.5191301074
39	0.5122382978
40	0.5079803815
41	0.5050666805
42	0.5026758055
43	0.4985686383
44	0.4956982709
45	0.4901626155
46	0.4854095027
47	0.482355318
48	0.4789746539
49	0.4745730218
50	0.4713761165
51	0.4697364737
52	0.4653438273
53	0.4635508297
54	0.4598563403
55	0.4576776073
56	0.4536846325
57	0.4514716493
58	0.4489553233
59	0.4464944365
60	0.4440412476
61	0.4401741989
62	0.4367255096
63	0.4330797027
64	0.4299531512
65	0.4268731689
66	0.4236045761
67	0.421169394
68	0.4188217313
69	0.4155484893
70	0.4131388574
71	0.4105607834
72	0.4079693218
73	0.4068240445
74	0.4045286325
75	0.401199514
76	0.3991074416
77	0.3974381595
78	0.3950426376
79	0.3930071137
80	0.3890202597
81	0.3862892873
82	0.3840560559
83	0.3818945553
84	0.3792738768
85	0.3762488393
86	0.3744947556
87	0.372134988
88	0.3694972508
89	0.3668918289
90	0.3657394783
91	0.362366583
92	0.3604697748
93	0.3576687237
94	0.355080446
95	0.3525444067
96	0.3509737231
97	0.3481564207
98	0.3463068346
99	0.3450235589
100	0.3420708995
101	0.3400063638
102	0.337005279
103	0.3354868844
104	0.3330464453
105	0.3311614057
106	0.3289915025
107	0.3276885759
108	0.3257949482
109	0.3240822166
110	0.3224404499
111	0.3208221028
112	0.319146298
113	0.3171943527
114	0.3143290495
115	0.3120493259
116	0.3098145768
117	0.3081680744
118	0.3055537877
119	0.3037976173
120	0.3021830382
121	0.3007886264
122	0.2982036488
123	0.2969625873
124	0.2951005737
125	0.2931836444
126	0.2920791912
127	0.2902049231
128	0.2885955685
129	0.2873505545
130	0.2862858727
131	0.2848075122
132	0.283453036
133	0.2816490874
134	0.2797422786
135	0.278190759
136	0.2777365671
137	0.2770544774
138	0.2754288895
139	0.2740938917
140	0.2726047455
141	0.2712969324
142	0.2695226889
143	0.2683544198
144	0.2676272578
145	0.2666246312
146	0.2649864431
147	0.2636066911
148	0.2624936616
149	0.2609331321
150	0.2594859223
151	0.2583236121
152	0.2571597296
153	0.2558498934
154	0.2544321446
155	0.2534661259
156	0.25223589
157	0.2510680995
158	0.2501293758
159	0.2485144971
160	0.2468693948
161	0.245896805
162	0.245388654
163	0.2440994843
164	0.242368083
165	0.241065713
166	0.2400955912
167	0.2385287229
168	0.2365998182
169	0.2356091451
170	0.2342587175
171	0.2329591063
172	0.2312442565
173	0.2301629489
174	0.2292295149
175	0.2281607496
176	0.2270599682
177	0.2253488926
178	0.2242729141
179	0.2228633778
180	0.2214133031
181	0.2200970818
182	0.2189992222
183	0.217634778
184	0.2167623549
185	0.2156037728
186	0.2144783752
187	0.2137664765
188	0.2124508124
189	0.2113696669
190	0.2097960806
191	0.209196175
192	0.2082934633
193	0.2069692193
194	0.2059639389
195	0.2048057754
196	0.2039408782
197	0.2030797963
198	0.2016118045
199	0.2010391225
200	0.2002715885
201	0.1996208719
202	0.1981500227
203	0.1972989943
204	0.1963355651
205	0.1946531166
206	0.1936784685
207	0.1929361654
208	0.1914497499
209	0.1904007025
210	0.1897192977
211	0.1885851459
212	0.1879243668
213	0.1871719408
214	0.1863703022
215	0.1854598472
216	0.1849743091
217	0.1843463405
218	0.1831916065
219	0.182318686
220	0.1817304886
221	0.1805093437
222	0.1794522762
223	0.1787044347
224	0.1778912963
225	0.1771941944
226	0.1761792392
227	0.175169031
228	0.1745123034
229	0.1739520158
230	0.1731639476
231	0.1724819018
232	0.1716743427
233	0.1707624956
234	0.1699166475
235	0.1691482621
236	0.1681392955
237	0.1671606257
238	0.166023598
239	0.1653223496
240	0.1643755228
241	0.16349956
242	0.1631172488
243	0.1621848007
244	0.1615699839
